,symbol,date,time,symbol_date,order,weekday,after_3_pm,high_current_or_close_check,nine_days_close_check,if_exceed_previous_high,moving_volume,previous_volume_max,volume_ratio,entry_price,previous_high,open_price,open_ratio,amount,if_larger_20m,close,close_ratio,next_1_day_close,next_1_day_close_ratio,next_2_days_close,next_2_days_close_ratio,next_1_week_close,next_1_week_close_ratio,same_day_high,same_day_high_ratio,if_current_to_open_too_high
156,SCI,2020/11/17,,SCI2020/11/17,0,2,0,,1,0,2663934,562794,4.733408672,49.69,52.99,49.77,-0.160739401,132370880.5,1,50.01,0.643992755,48.9,-1.589857114,48.62,-2.153350775,49.44,-0.50311934,50.34,1.308110284,0
157,CIICW,2020/11/17,,CIICW2020/11/17,0,2,0,,1,1,121832,70000,1.740457143,1.76,1.35,1.1,60,214424.32,0,2.12,20.45454545,3.8,115.9090909,4.25,141.4772727,6.2,252.2727273,2.29,30.11363636,1
158,IRT,2020/11/17,,IRT2020/11/17,0,2,0,,1,0,501608,363735,1.379047933,13.83,14.12,13.75,0.581818182,6937238.64,0,14.01,1.301518438,13.4,-3.109182936,13.1,-5.278380333,13.18,-4.699927693,14.07,1.735357918,0
159,UFI,2020/11/17,,UFI2020/11/17,0,2,0,,1,0,119240,59327,2.009877459,16.47,18.0628,16.46,0.060753341,1963882.8,0,16.44,-0.182149362,15.54,-5.646630237,15.22,-7.58955677,16.16,-1.882210079,16.86,2.367941712,0
160,NXRT,2020/11/17,,NXRT2020/11/17,0,2,0,,1,0,236452,169378,1.396001842,45,47.23,44.07,2.110279101,10640340,0,44.95,-0.111111111,44.62,-0.844444444,43.45,-3.444444444,43.77,-2.733333333,45.22,0.488888889,0
161,JCI,2020/11/17,,JCI2020/11/17,0,2,0,,1,0,7374722,3939866,1.871820514,45.2,47.58,44.99,0.466770393,333337434.4,1,44.71,-1.084070796,45.96,1.681415929,45.71,1.128318584,46.66,3.230088496,45.37,0.376106195,0
162,CTO,2020/11/17,,CTO2020/11/17,0,2,0,,1,0,21211,15554,1.363700656,52.44,55,51.7,1.431334623,1112304.84,0,52.3,-0.266971777,41.77,-20.34706331,40.01,-23.70327994,40.47,-22.82608696,52.6,0.305110603,0
163,CXP,2020/11/17,,CXP2020/11/17,0,2,0,,1,0,1964568,1085361,1.81005951,13.97,13.54,13.15,6.235741445,27445014.96,1,13.94,-0.214745884,13.52,-3.221188261,13.89,-0.572655691,14.41,3.149606299,14.25,2.004294918,0
164,UEIC,2020/11/17,,UEIC2020/11/17,0,2,0,,1,0,54341,29649,1.83281055,49.45,49.745,48.38,2.21165771,2687162.45,0,49.48,0.060667341,48.76,-1.395348837,48.39,-2.143579373,53.47,8.12942366,49.66,0.424671385,0
165,ODC,2020/11/17,,ODC2020/11/17,0,2,0,,1,0,44872,27058,1.658363515,36.285,38.47,36.15,0.373443983,1628180.52,0,36.16,-0.34449497,35.05,-3.403610307,35.31,-2.687060769,35.81,-1.309080887,36.66,1.033484911,0
166,PROS,2020/11/17,,PROS2020/11/17,0,2,0,,1,0,211652,85299,2.481295209,12.25,12.54,12.25,0,2592737,0,12.3,0.408163265,12.73,3.918367347,12.53,2.285714286,12.68,3.510204082,12.36,0.897959184,0
