Symbol,Company Name,Industry,Market Cap
ATKR,Atkore,Electrical Equipment & Parts,5549620256
ATLC,Atlanticus Holdings,Credit Services,392020361
ATLO,Ames National,Banks - Regional,187037136
ATLX,Atlas Lithium,Other Precious Metals & Mining,101917120
ATMC,AlphaTime Acquisition,Shell Companies,15330000
ATMV,AlphaVest Acquisition,Shell Companies,15465000
ATNF,180 Life Sciences,Biotechnology,6727158
ATNI,ATN International,Telecom Services,643061892
ATNM,Actinium Pharmaceuticals,Biotechnology,240817185
ATNX,Athenex,Drug Manufacturers - Specialty & Generic,11522069
ATO,Atmos Energy,Utilities - Regulated Gas,16085795579
ATOM,Atomera,Semiconductor Equipment & Materials,154664874
ATOS,Atossa Therapeutics,Biotechnology,91789738
ATR,AptarGroup,Medical Instruments & Supplies,7727841331
ATRA,Atara Biotherapeutics,Biotechnology,289859646
ATRC,AtriCure,Medical Instruments & Supplies,1930243600
ATRI,Atrion,Medical Instruments & Supplies,1106050907
ATRO,Astronics,Aerospace & Defense,427544021
ATSG,Air Transport Services Group,Airlines,1499391392
ATTO,Atento,Specialty Business Services,30173876
ATUS,Altice USA,Telecom Services,1560073985
ATVI,Activision Blizzard,Electronic Gaming & Multimedia,67126010291
ATXG,Addentax Group,Integrated Freight & Logistics,32336718
ATXI,Avenue Therapeutics,Biotechnology,6443499
ATXS,Astria Therapeutics,Biotechnology,372223110
ATY,AcuityAds Holdings,Advertising Agencies,90326151
AU,AngloGold Ashanti,Gold,10125981993
AUB,Atlantic Union Bankshares,Banks - Regional,2628262665
AUBN,Auburn National Bancorporation,Banks - Regional,79329941
AUD,Audacy,Broadcasting,19051563
AUDC,AudioCodes,Communication Equipment,479167000
AUGX,Augmedix,Health Information Services,65132028
AUID,authID,Software - Infrastructure,11211480
AULT,Ault Alliance,Aerospace & Defense,30737735
AUMN,Golden Minerals Company,Other Precious Metals & Mining,34951117
AUPH,Aurinia Pharmaceuticals,Biotechnology,1562643832
AUR,Aurora Innovation,Information Technology Services,1629677649
AURA,Aura Biosciences,Biotechnology,350784928
AURC,Aurora Acquisition,Shell Companies,90978980
AUST,Austin Gold,Gold,15129852
AUTL,Autolus Therapeutics,Biotechnology,318458015
AUUD,Auddia,Software - Application,9123997
AUVI,Applied UV,"Furnishings, Fixtures & Appliances",14689136
AUY,Yamana Gold,Gold,5621873587
AVA,Avista,Utilities - Diversified,3195843835
AVAC,Avalon Acquisition,Shell Companies,271494965
AVAH,Aveanna Healthcare Holdings,Medical Care Facilities,193293368
AVAL,Grupo Aval Acciones y Valores,Banks - Regional,2777977912
AVAV,AeroVironment,Aerospace & Defense,2315698240
AVB,AvalonBay Communities,REIT - Residential,23514955200
AVD,American Vanguard,Agricultural Inputs,644937068
AVDL,Avadel Pharmaceuticals,Drug Manufacturers - Specialty & Generic,565892892
AVDX,AvidXchange Holdings,Software - Infrastructure,1555842662
AVGO,Broadcom,Semiconductors,2.67473E+11
AVGR,Avinger,Medical Instruments & Supplies,7063028
AVHI,Achari Ventures Holdings I,Shell Companies,131843750
AVID,Avid Technology,Electronic Gaming & Multimedia,1400001252
AVIR,Atea Pharmaceuticals,Biotechnology,290827232
AVNS,Avanos Medical,Medical Devices,1386005934
AVNT,Avient,Specialty Chemicals,3744177024
AVNW,Aviat Networks,Communication Equipment,392682038
AVO,Mission Produce,Food Distribution,785844785
AVPT,AvePoint,Software - Infrastructure,763345360
AVRO,AVROBIO,Biotechnology,44088300
AVT,Avnet,Electronics & Computer Distribution,4130353581
AVTA,Avantax,Asset Management,1294496560
AVTE,Aerovate Therapeutics,Biotechnology,496284867
AVTR,Avantor,Specialty Chemicals,14257746836
AVTX,Avalo Therapeutics,Biotechnology,23072175
AVXL,Anavex Life Sciences,Biotechnology,668735063
AVY,Avery Dennison,Business Equipment & Supplies,14512833370
AWH,Aspira Women's Health,Diagnostics & Research,45601770
AWI,Armstrong World Industries,Building Products & Equipment,3237024492
AWIN,AERWINS Technologies,Scientific & Technical Instruments,52417126
AWK,American Water Works Company,Utilities - Regulated Water,28509443158
AWR,American States Water Company,Utilities - Regulated Water,3286227744
AWRE,Aware,Software - Application,35689630
AWX,Avalon Holdings,Waste Management,10333490
AX,Axos Financial,Banks - Regional,2215225844
AXAC,AXIOS Sustainable Growth Acquisition,Shell Companies,87287776
AXDX,Accelerate Diagnostics,Medical Devices,69369653
AXGN,AxoGen,Medical Devices,402587955
AXL,American Axle & Manufacturing Holdings,Auto Parts,912325150
AXLA,Axcella Health,Biotechnology,35306304
AXNX,Axonics,Medical Devices,2726014016
AXON,Axon Enterprise,Aerospace & Defense,16383065670
AXP,American Express Company,Credit Services,1.22734E+11
AXR,AMREP,Real Estate - Development,73516191
AXS,AXIS Capital Holdings,Insurance - Property & Casualty,4644161022
AXSM,Axsome Therapeutics,Biotechnology,2684097720
AXTA,Axalta Coating Systems,Specialty Chemicals,6695665080
AXTI,"AXT, Inc.",Semiconductor Equipment & Materials,179946944
AY,Atlantica Sustainable Infrastructure,Utilities - Renewable,3433482680
AYI,Acuity Brands,Electrical Equipment & Parts,5856770595
AYRO,"Ayro, Inc.",Auto Manufacturers,20379360
AYTU,Aytu BioPharma,Drug Manufacturers - Specialty & Generic,8003745
AYX,Alteryx,Software - Application,4170820150
AZ,A2Z Smart Technologies,Aerospace & Defense,42471312
AZEK,The AZEK Company,Building Products & Equipment,3548137120
AZN,AstraZeneca,Drug Manufacturers - General,2.15148E+11
AZO,AutoZone,Specialty Retail,45224306255
AZPN,Aspen Technology,Software - Application,14824207431
AZRE,Azure Power Global,Utilities - Renewable,159762135
AZTA,Azenta,Medical Instruments & Supplies,3083393708
AZUL,Azul S.A.,Airlines,828592050
AZYO,Aziyo Biologics,Medical Devices,24447202
AZZ,AZZ Inc.,Metal Fabrication,1026649180
B,Barnes Group,Specialty Industrial Machinery,2038280784
BA,The Boeing Company,Aerospace & Defense,1.27283E+11
BABA,Alibaba Group Holding,Internet Retail,2.64391E+11
BAC,Bank of America,Banks - Diversified,2.28779E+11
BACA,Berenson Acquisition I,Shell Companies,342867820
BACK,IMAC Holdings,Medical Care Facilities,4683936
BAER,Bridger Aerospace Group Holdings,Security & Protection Services,200901088
BAFN,BayFirst Financial,Banks - Regional,62779559
BAH,Booz Allen Hamilton Holding,Consulting Services,12260662440
BAK,Braskem,Chemicals,3234723954
BALL,Ball Corporation,Packaging & Containers,17326308891
